time,trial,repetition,left_stiffness,right_stiffness,left_amplitude,right_amplitude,answer
1.90549E+001,warmup,0,5.00000E+003,1.00000E+004,5.00000E-001,1.00000E+000,right
2.84258E+001,warmup,1,5.00000E+003,5.00000E+003,5.00000E-001,5.00000E-001,right
3.85342E+001,warmup,2,1.00000E+004,5.00000E+003,1.00000E+000,5.00000E-001,left
4.78484E+001,warmup,3,5.00000E+003,5.00000E+003,5.00000E-001,5.00000E-001,left
5.73166E+001,warmup,4,1.00000E+003,5.00000E+003,1.00000E-001,5.00000E-001,right
6.69381E+001,warmup,5,5.00000E+003,1.00000E+003,5.00000E-001,1.00000E-001,left
7.95391E+001,visualHaptics,0,5.00000E+003,4.00000E+003,5.00000E-001,4.00000E-001,left
8.77114E+001,visualHaptics,1,5.00000E+003,5.00000E+003,5.00000E-001,5.00000E-001,right
9.62326E+001,visualHaptics,2,5.00000E+003,6.00000E+003,5.00000E-001,6.00000E-001,left
1.04921E+002,visualHaptics,3,4.00000E+003,5.00000E+003,4.00000E-001,5.00000E-001,left
1.13428E+002,visualHaptics,4,6.00000E+003,5.00000E+003,6.00000E-001,5.00000E-001,left
1.21921E+002,visualHaptics,5,8.00000E+003,5.00000E+003,8.00000E-001,5.00000E-001,left
1.30903E+002,visualHaptics,6,3.00000E+003,5.00000E+003,3.00000E-001,5.00000E-001,right
1.39186E+002,visualHaptics,7,5.00000E+003,9.00000E+003,5.00000E-001,9.00000E-001,right
1.47986E+002,visualHaptics,8,1.00000E+003,5.00000E+003,1.00000E-001,5.00000E-001,right
1.56618E+002,visualHaptics,9,9.00000E+003,5.00000E+003,9.00000E-001,5.00000E-001,left
1.65362E+002,visualHaptics,10,5.00000E+003,7.00000E+003,5.00000E-001,7.00000E-001,right
1.73898E+002,visualHaptics,11,2.00000E+003,5.00000E+003,2.00000E-001,5.00000E-001,right
1.82558E+002,visualHaptics,12,5.00000E+003,3.00000E+003,5.00000E-001,3.00000E-001,left
1.91135E+002,visualHaptics,13,5.00000E+003,5.00000E+003,5.00000E-001,5.00000E-001,left
1.99572E+002,visualHaptics,14,5.00000E+003,2.00000E+003,5.00000E-001,2.00000E-001,left
2.08818E+002,visualHaptics,15,5.00000E+003,1.00000E+004,5.00000E-001,1.00000E+000,right
2.17325E+002,visualHaptics,16,5.00000E+003,1.00000E+003,5.00000E-001,1.00000E-001,left
2.27002E+002,visualHaptics,17,1.00000E+004,5.00000E+003,1.00000E+000,5.00000E-001,left
2.36219E+002,visualHaptics,18,5.00000E+003,8.00000E+003,5.00000E-001,8.00000E-001,right
2.45130E+002,visualHaptics,19,7.00000E+003,5.00000E+003,7.00000E-001,5.00000E-001,left
2.57717E+002,visualOnly,0,5.00000E+003,4.00000E+003,0.00000E+000,0.00000E+000,left
2.65639E+002,visualOnly,1,5.00000E+003,5.00000E+003,0.00000E+000,0.00000E+000,left
2.73965E+002,visualOnly,2,4.00000E+003,5.00000E+003,0.00000E+000,0.00000E+000,right
2.82097E+002,visualOnly,3,1.00000E+003,5.00000E+003,0.00000E+000,0.00000E+000,right
2.91133E+002,visualOnly,4,8.00000E+003,5.00000E+003,0.00000E+000,0.00000E+000,left
2.99028E+002,visualOnly,5,2.00000E+003,5.00000E+003,0.00000E+000,0.00000E+000,right
3.06978E+002,visualOnly,6,7.00000E+003,5.00000E+003,0.00000E+000,0.00000E+000,left
3.14733E+002,visualOnly,7,5.00000E+003,6.00000E+003,0.00000E+000,0.00000E+000,left
3.23240E+002,visualOnly,8,6.00000E+003,5.00000E+003,0.00000E+000,0.00000E+000,right
3.31414E+002,visualOnly,9,3.00000E+003,5.00000E+003,0.00000E+000,0.00000E+000,right
3.39476E+002,visualOnly,10,5.00000E+003,1.00000E+003,0.00000E+000,0.00000E+000,left
3.48274E+002,visualOnly,11,5.00000E+003,9.00000E+003,0.00000E+000,0.00000E+000,right
3.55877E+002,visualOnly,12,5.00000E+003,5.00000E+003,0.00000E+000,0.00000E+000,left
3.63646E+002,visualOnly,13,5.00000E+003,2.00000E+003,0.00000E+000,0.00000E+000,left
3.72460E+002,visualOnly,14,1.00000E+004,5.00000E+003,0.00000E+000,0.00000E+000,left
3.80550E+002,visualOnly,15,5.00000E+003,3.00000E+003,0.00000E+000,0.00000E+000,left
3.88959E+002,visualOnly,16,5.00000E+003,1.00000E+004,0.00000E+000,0.00000E+000,right
3.97077E+002,visualOnly,17,9.00000E+003,5.00000E+003,0.00000E+000,0.00000E+000,left
4.04929E+002,visualOnly,18,5.00000E+003,8.00000E+003,0.00000E+000,0.00000E+000,right
4.14035E+002,visualOnly,19,5.00000E+003,7.00000E+003,0.00000E+000,0.00000E+000,right
4.26427E+002,hapticsOnly,0,5.00000E+003,5.00000E+003,5.00000E-001,5.00000E-001,right
4.35394E+002,hapticsOnly,1,5.00000E+003,5.00000E+003,3.00000E-001,5.00000E-001,right
4.43915E+002,hapticsOnly,2,5.00000E+003,5.00000E+003,2.00000E-001,5.00000E-001,right
4.53286E+002,hapticsOnly,3,5.00000E+003,5.00000E+003,6.00000E-001,5.00000E-001,left
4.61973E+002,hapticsOnly,4,5.00000E+003,5.00000E+003,5.00000E-001,2.00000E-001,left
4.71260E+002,hapticsOnly,5,5.00000E+003,5.00000E+003,8.00000E-001,5.00000E-001,left
4.79824E+002,hapticsOnly,6,5.00000E+003,5.00000E+003,7.00000E-001,5.00000E-001,left
4.87997E+002,hapticsOnly,7,5.00000E+003,5.00000E+003,5.00000E-001,6.00000E-001,right
4.96490E+002,hapticsOnly,8,5.00000E+003,5.00000E+003,5.00000E-001,3.00000E-001,left
5.04983E+002,hapticsOnly,9,5.00000E+003,5.00000E+003,5.00000E-001,9.00000E-001,right
5.13978E+002,hapticsOnly,10,5.00000E+003,5.00000E+003,5.00000E-001,8.00000E-001,right
5.22597E+002,hapticsOnly,11,5.00000E+003,5.00000E+003,5.00000E-001,7.00000E-001,right
5.31688E+002,hapticsOnly,12,5.00000E+003,5.00000E+003,9.00000E-001,5.00000E-001,right
5.40502E+002,hapticsOnly,13,5.00000E+003,5.00000E+003,1.00000E+000,5.00000E-001,left
5.48981E+002,hapticsOnly,14,5.00000E+003,5.00000E+003,1.00000E-001,5.00000E-001,right
5.57433E+002,hapticsOnly,15,5.00000E+003,5.00000E+003,5.00000E-001,1.00000E-001,right
5.67402E+002,hapticsOnly,16,5.00000E+003,5.00000E+003,5.00000E-001,1.00000E+000,right
5.75896E+002,hapticsOnly,17,5.00000E+003,5.00000E+003,5.00000E-001,4.00000E-001,left
5.84403E+002,hapticsOnly,18,5.00000E+003,5.00000E+003,5.00000E-001,5.00000E-001,left
5.93300E+002,hapticsOnly,19,5.00000E+003,5.00000E+003,4.00000E-001,5.00000E-001,right
